广东频道,#genre#
广东卫视超清,http://192.168.10.1:8888/udp/239.10.0.45:1025
广东卫视高清,http://192.168.10.1:8888/udp/239.10.0.111:1025
广东卫视高清,http://192.168.10.1:8888/udp/239.10.0.42:1025
广东卫视高清,http://192.168.10.1:8888/udp/239.11.0.93:1025
广东珠江超清,http://192.168.10.1:8888/udp/239.10.0.63:1025
广东珠江高清,http://192.168.10.1:8888/udp/239.10.0.62:1025
广东新闻高清,http://192.168.10.1:8888/udp/239.10.0.199:1025
广东民生高清,http://192.168.10.1:8888/udp/239.11.0.80:1025
广东体育超清,http://192.168.10.1:8888/udp/239.10.0.47:1025
广东体育高清,http://192.168.10.1:8888/udp/239.10.0.113:1025
广东经济超清,http://192.168.10.1:8888/udp/239.10.0.46:1025
广东经济高清,http://192.168.10.1:8888/udp/239.10.0.112:1025
广东湾区卫视,http://192.168.10.1:8888/udp/239.11.0.78:1025
广东影视高清,http://192.168.10.1:8888/udp/239.11.0.79:1025
广东少儿高清,http://192.168.10.1:8888/udp/239.11.0.81:1025
广东嘉佳高清,http://192.168.10.1:8888/udp/239.10.0.200:1025
广东4K超高清,http://192.168.10.1:8888/udp/239.10.0.75:1025
南国都市4K,http://192.168.10.1:8888/udp/239.11.0.170:1025
广州综合高清,http://192.168.10.1:8888/udp/239.11.0.138:1025
广州新闻高清,http://192.168.10.1:8888/udp/239.11.0.139:1025
肇庆综合高清,http://192.168.10.1:8888/udp/239.11.0.53:1025
佛山综合高清,http://192.168.10.1:8888/udp/239.11.0.118:1025
佛山城市高清,http://192.168.10.1:8888/udp/239.11.0.114:1025
佛山南海高清,http://192.168.10.1:8888/udp/239.11.0.115:1025
佛山顺德高清,http://192.168.10.1:8888/udp/239.11.0.116:1025
珠海综合高清,http://192.168.10.1:8888/udp/239.10.0.242:1025
中山综合高清,http://192.168.10.1:8888/udp/239.11.0.16:1025
中山综合高清,http://192.168.10.1:8888/udp/239.11.0.122:1025
江门综合高清,http://192.168.10.1:8888/udp/239.10.0.219:1025
云浮综合高清,http://192.168.10.1:8888/udp/239.11.0.96:1025
阳江综合高清,http://192.168.10.1:8888/udp/239.11.0.189:1025
茂名综合高清,http://192.168.10.1:8888/udp/239.10.0.238:1025
茂名文化高清,http://192.168.10.1:8888/udp/239.11.0.99:1025
韶关综合高清,http://192.168.10.1:8888/udp/239.11.0.84:1025
湛江新闻高清,http://192.168.10.1:8888/udp/239.10.0.253:1025
清远综合高清,http://192.168.10.1:8888/udp/239.11.0.74:1025
广东南方购物,http://192.168.10.1:8888/udp/239.11.0.95:1025
广东南方购物,http://192.168.10.1:8888/udp/239.10.0.126:1025
广东岭南戏曲,http://192.168.10.1:8888/udp/239.11.0.180:1025

央视频道,#genre#
CCTV1综合,http://192.168.10.1:8888/udp/239.10.0.48:1025
CCTV1综合,http://192.168.10.1:8888/udp/239.10.0.114:1025
CCTV2财经,http://192.168.10.1:8888/udp/239.10.0.207:1025
CCTV3综艺,http://192.168.10.1:8888/udp/239.10.0.101:1025
CCTV4国际,http://192.168.10.1:8888/udp/239.10.0.245:1025
CCTV4欧洲,http://192.168.10.1:8888/udp/239.11.0.101:1025
CCTV4美洲,http://192.168.10.1:8888/udp/239.11.0.102:1025
CCTV5体育,http://192.168.10.1:8888/udp/239.10.0.102:1025
CCTV5赛事,http://192.168.10.1:8888/udp/239.10.0.213:1025
CCTV6电影,http://192.168.10.1:8888/udp/239.10.0.103:1025
CCTV7国防,http://192.168.10.1:8888/udp/239.10.0.208:1025
CCTV8剧集,http://192.168.10.1:8888/udp/239.10.0.104:1025
CCTV9纪录,http://192.168.10.1:8888/udp/239.10.0.209:1025
CCTV10科教,http://192.168.10.1:8888/udp/239.10.0.210:1025
CCTV11戏曲,http://192.168.10.1:8888/udp/239.11.0.24:1025
CCTV12法治,http://192.168.10.1:8888/udp/239.10.0.211:1025
CCTV13新闻,http://192.168.10.1:8888/udp/239.10.0.198:1025
CCTV14少儿,http://192.168.10.1:8888/udp/239.10.0.212:1025
CCTV15音乐,http://192.168.10.1:8888/udp/239.11.0.25:1025
CCTV16奥运,http://192.168.10.1:8888/udp/239.11.0.126:1025
CCTV17农业,http://192.168.10.1:8888/udp/239.10.0.244:1025
CGTN英语,http://192.168.10.1:8888/udp/239.11.0.103:1025
CGTN纪录,http://192.168.10.1:8888/udp/239.11.0.104:1025
CGTN西语,http://192.168.10.1:8888/udp/239.11.0.105:1025
CGTN法语,http://192.168.10.1:8888/udp/239.11.0.106:1025
CGTN阿语,http://192.168.10.1:8888/udp/239.11.0.107:1025
CGTN俄语,http://192.168.10.1:8888/udp/239.11.0.108:1025
CETV1高清,http://192.168.10.1:8888/udp/239.10.0.223:1025
CETV4高清,http://192.168.10.1:8888/udp/239.11.0.176:1025/
CETV早期教育,http://192.168.10.1:8888/udp/239.11.0.100:1025
CCTV兵器科技,http://192.168.10.1:8888/udp/239.11.0.57:1025
CCTV电视指南,http://192.168.10.1:8888/udp/239.11.0.58:1025
CCTV风云足球,http://192.168.10.1:8888/udp/239.11.0.59:1025
CCTV央视台球,http://192.168.10.1:8888/udp/239.11.0.60:1025
CCTV高尔夫网球,http://192.168.10.1:8888/udp/239.11.0.61:1025
CCTV女性时尚,http://192.168.10.1:8888/udp/239.11.0.62:1025
CCTV世界地理,http://192.168.10.1:8888/udp/239.11.0.63:1025
CCTV怀旧剧场,http://192.168.10.1:8888/udp/239.11.0.64:1025
CCTV风云剧场,http://192.168.10.1:8888/udp/239.11.0.65:1025
CCTV文化精品,http://192.168.10.1:8888/udp/239.11.0.66:1025
CCTV第一剧场,http://192.168.10.1:8888/udp/239.11.0.67:1025
CCTV风云音乐,http://192.168.10.1:8888/udp/239.11.0.68:1025
CCTV卫生健康,http://192.168.10.1:8888/udp/239.11.0.185:1025

卫视频道,#genre#
北京卫视4K,http://192.168.10.1:8888/udp/239.11.0.191:1025
北京卫视4K-30m,http://192.168.10.1:8888/udp/239.11.0.192:1025
广东卫视4K,http://192.168.10.1:8888/udp/239.11.0.193:1025
广东卫视4K-30m,http://192.168.10.1:8888/udp/239.11.0.194:1025
深圳卫视4K,http://192.168.10.1:8888/udp/239.11.0.195:1025
湖南卫视4K,http://192.168.10.1:8888/udp/239.11.0.200:1025
江苏卫视4K,http://192.168.10.1:8888/udp/239.11.0.201:1025
浙江卫视4K,http://192.168.10.1:8888/udp/239.11.0.202:1025
东方卫视4K,http://192.168.10.1:8888/udp/239.11.0.203:1025
四川卫视4K,http://192.168.10.1:8888/udp/239.11.0.204:1025
山东卫视4K,http://192.168.10.1:8888/udp/239.11.0.205:1025
广东卫视超清,http://192.168.10.1:8888/udp/239.10.0.45:1025
深圳卫视超清,http://192.168.10.1:8888/udp/239.10.0.52:1025
山东卫视超清,http://192.168.10.1:8888/udp/239.10.0.56:1025
湖南卫视高清,http://192.168.10.1:8888/udp/239.10.0.115:1025
金鹰卡通高清,http://192.168.10.1:8888/udp/239.11.0.125:1025
金鹰纪实高清,http://192.168.10.1:8888/udp/239.10.0.206:1025
北京卫视高清,http://192.168.10.1:8888/udp/239.10.0.131:1025
深圳卫视高清,http://192.168.10.1:8888/udp/239.10.0.132:1025
东方卫视高清,http://192.168.10.1:8888/udp/239.10.0.183:1025
浙江卫视高清,http://192.168.10.1:8888/udp/239.10.0.179:1025
江苏卫视高清,http://192.168.10.1:8888/udp/239.10.0.180:1025
东南卫视高清,http://192.168.10.1:8888/udp/239.10.0.77:1025
河北卫视高清,http://192.168.10.1:8888/udp/239.10.0.79:1025
河南卫视高清,http://192.168.10.1:8888/udp/239.11.0.94:1025
陕西卫视高清,http://192.168.10.1:8888/udp/239.11.0.206:1025
山西卫视标清,http://192.168.10.1:8888/udp/239.10.0.162:1025
江西卫视高清,http://192.168.10.1:8888/udp/239.10.0.80:1025
湖北卫视高清,http://192.168.10.1:8888/udp/239.10.0.134:1025
天津卫视高清,http://192.168.10.1:8888/udp/239.10.0.181:1025
山东卫视高清,http://192.168.10.1:8888/udp/239.10.0.182:1025
安徽卫视高清,http://192.168.10.1:8888/udp/239.10.0.203:1025
四川卫视高清,http://192.168.10.1:8888/udp/239.10.0.204:1025
重庆卫视高清,http://192.168.10.1:8888/udp/239.10.0.205:1025
